index,raw_response
17,"NO — The study investigates barrier creams against sulfur mustard (a chemical warfare agent) and only vaguely mentions “perfluorinated” formulations without any exposure to PFOA, PFOS (or their listed analogues) or assessment of PFAS-related immunotoxicity."
18,"YES — The paper studies perfluorinated (fluoro-) surfactants with in vitro effects on human platelet aggregation, and although the specific chemicals (PFOA/PFOS or listed analogues) are not named, the exposure and immune/hematologic endpoint make its relevance unclear but potentially eligible."
19,YES — Human study (NHANES 1999–2006) measuring serum PFOA and PFOS that reports associations between higher concentrations and prevalent/treated thyroid disease (a toxicity/health-effect outcome).
20,"NO — This is an analytical HPLC method using heptafluorobutyric acid to separate leukotrienes and related compounds, not a study of PFOA/PFOS (or listed analogues) nor of immunotoxicity, toxicity, or immune-related health effects."
21,"NO — The study tests a perfluorinated oxygen carrier (P‑cyclohexylmorpholine) and antioxidant effects in ischemia/hyperbaric models and does not report exposure to PFOA, PFOS, or the listed C8/perfluorooctane/perfluorooctanoate analogues."
22,"NO — The study examines perfluorochemical (perfluorocarbon) oxygen carriers in acute CO poisoning in ewes and does not involve PFOA, PFOS, C8, or listed analogues nor immune-related outcomes."
23,"NO — The study exposes animals to perflubron (a perfluorocarbon used for liquid ventilation), not PFOA, PFOS, or any of the listed C8/PFCA/PFOS analogues, so it does not meet the exposure criterion despite assessing inflammatory effects."
24,NO — This article discusses perfluorocarbon emulsions as oxygen-carrying red cell substitutes and not research on PFOA/PFOS (or listed analogues) exposure or immune/immunotoxicity outcomes.
25,NO — The paper reports biodistribution of perfluorocarbon emulsions (FTBA and PFOB) for imaging in animals and does not study PFOA/PFOS (or specified analogues) nor report immunotoxicity/toxicity or immune-related health outcomes.
26,"YES — The study includes perfluorooctanoic acid (PFOA) among peroxisome proliferators tested in rat liver and examines macrophage activation and cytokine gene responses, i.e., immune-related toxic effects."
27,"NO — This is a synthetic chemistry methods paper on preparing beta-perfluoroalkylalanines and does not report studies of PFOA/PFOS (or listed analogues) exposure or any immunotoxicity/toxicity/immune-related health effects in human, animal, or in vitro models."
28,"NO — This is a chemistry/catalysis study on cyclohexane autoxidation using inert perfluorinated materials (e.g., Teflon) and does not investigate PFOA/PFOS (or listed analogues), exposures, or immune/toxicological effects."
29,"YES — This review addresses biological monitoring of PFCAs and PFSAs, including perfluorooctanoic acid and perfluorooctane sulfonate in humans and wildlife (relevant exposures for toxicity/immunotoxicity), though the abstract focuses on exposure/concentration patterns rather than specific immune outcomes."
30,NO — The study uses liquid perfluorocarbon for airway distension (not PFOA/PFOS or listed C8 analogues) and investigates IGF‑I gene expression in lung growth models rather than immunotoxicity or immune-related health effects.
31,"NO — This is a materials science study of wetting on superhydrophobic fractal surfaces (polymers/silanes) and mentions fluorination only in the context of surface energy, with no PFOA/PFOS (or analogue) exposure or any immunotoxicity/toxicity/health-related experiments."
32,"YES — Study assesses toxicity of PFOS (perfluorooctane sulfonic acid) and derives aquatic predicted no-effect concentrations, meeting the exposure and toxicity criteria."
33,"NO — This is a methods paper on using generic perfluoroalkyl affinity tags for targeted enrichment and mass spectrometry, not a study of PFOA/PFOS (or listed C8 analogues) exposures nor any immunotoxicity/toxicity or immune-related health effects."
34,NO — This is a surgical case-series describing use of perfluorocarbon liquid (PFCL) for retinal dissection and does not investigate PFOA/PFOS (or analogues) exposures nor immunotoxicity/toxic or immune-related health effects.
35,"NO — This study examines Fluosol-DA (an oxygen-carrying perfluorochemical emulsion) with bleomycin/O2 in mice and does not involve PFOA, PFOS, or any of the listed analogue compounds."
36,NO — The paper describes synthesis of perfluorocarbon microbubbles for ultrasound drug delivery and does not involve PFOA/PFOS (or listed analogues) exposures nor study immunotoxicity or immune-related health effects.
37,"NO — The paper describes a 19F MRI method using trifluoroacetic acid and perfluorotributylamine (Oxypherol-ET), not PFOA/PFOS or the listed analogues, and does not investigate toxicity or immune-related effects."
38,"YES — This review addresses indoor contamination by perfluoroalkyl compounds (PFCs), which likely include PFOA/PFOS and their analogues, but it primarily focuses on exposure pathways and body burden (not clearly on toxicity or immune-related health effects), so its relevance to immunotoxicity/toxicity is unclear."
39,"NO — This is an environmental biodegradation study showing formation of PFOA from 8:2 FTS in soil and does not report any human, animal, or in vitro toxicity or immune-related health effects."
40,"NO — This microbiology study investigates the luxS gene and AI-2 quorum sensing in Clostridium perfringens and toxin production, with no mention of PFOA, PFOS, or related perfluorinated compounds or immune/toxic effects from those exposures."
41,"NO — This is a human biomonitoring study of PFOS/PFOA serum concentrations (time, sex, geographic trends) and does not investigate toxicity, immunotoxicity, or immune-related health outcomes."
42,"NO — This is an environmental monitoring/transport study of perfluorinated contaminants in Antarctic biota and does not report PFOA/PFOS-specific exposure data nor investigate immunotoxicity, toxicity, or immune-related health effects."
43,"NO — This is an animal study of a perfluorocarbon (PF5080) surfactant delivery method assessing lung distribution and oxygenation, not exposure to PFOA/PFOS (or listed analogues) nor any immunotoxicity/toxic or immune-related health outcomes."
44,"NO — Although the compound is a perfluorooctanoate, the article reports physical/physicochemical measurements of micellar conductivity and reorientation in D2O, not any toxicological or immune-related effects."
45,NO — This materials science study describes thermoresponsive hydrogel films (PNiPAAm/PDEAAm) and their swelling behavior and does not involve PFOA/PFOS (or analogues) exposure or any immunotoxicity/toxicity outcomes.
46,"NO — The study uses a perfluorocarbon contrast agent (PESDA) for myocardial perfusion imaging in dogs and does not involve PFOA/PFOS (or listed analogues) exposure nor assess immunotoxicity, toxicity, or immune-related health effects."
47,"NO — This is an environmental monitoring/chemistry study reporting PFC concentrations and sediment–water partitioning in rivers and does not include human, animal, or in vitro experiments or any toxicity/immunotoxicity or immune-related health outcomes."
48,"NO — this is an atmospheric-chemistry study of OH radical collisions with organic liquids (squalane, squalene, oleic acid, and a perfluorinated polyether PFPE), not research on PFOA/PFOS (or listed analogues) nor on immunotoxicity/toxicity or immune-related health effects."
49,"NO — This is a human biomonitoring study reporting historical and regional serum PFOS/PFOA concentrations but does not assess immunotoxicity, toxicity, or any immune-related health outcomes."
50,"NO — This is a synthetic-chemistry methods paper on fluorocarbon/epoxide halogenation and CF2I2 additions, not a study of PFOA/PFOS (or listed analogues) exposure or any immunotoxicity/toxicity or immune-related health effects."
51,"NO — The study evaluates fluorinated polyimide membranes for oxygenator gas transfer and blood compatibility and does not involve PFOA, PFOS, or listed analogues nor assess immunotoxicity or immune-related effects."
52,"NO — This article discusses perfluorocarbon emulsions (liquid perfluorocarbons for blood-substitute use), not PFOA/PFOS or the specified analogue exposures, and does not report immune-related toxicity studies."
53,"NO — This is a chemical synthesis/catalysis paper (development of biphenyl arsine ligands and Pd-catalyzed perfluoroalkylation) and does not report exposure, toxicology, or immunotoxicity research on PFOA, PFOS, or the specified analogues."
54,"NO — This study tests perfluorocarbon (Fluosol-DA, FC-43) exchange transfusion effects on myocardial infarct size in baboons and does not examine PFOA/PFOS (or the listed analogues) exposure nor immunotoxicity/toxic immune-related outcomes."
55,"YES — Prospective human study measuring maternal PFOA/PFOS in pregnancy (Danish National Birth Cohort) and assessing offspring hospitalizations for infectious diseases, i.e., an immune-related health outcome."
56,"YES — Animal study reporting immune-related effects (immunosuppression) following exposure to perfluorochemical compounds (Fluosol-DA and FC43) in guinea pig-to-rat xenotransplantation, relevant to PFC-related immunotoxicity (though not explicitly PFOA/PFOS)."
57,"NO — This is a chromatography/materials study of fluorinated glassy carbon stationary phases and solute retention mechanisms, not research on PFOA/PFOS (or listed analogues) exposures or immunotoxicity/immune-related health effects."
58,YES — Animal study exposing piglets to instilled perfluorocarbon liquid (a perfluorinated compound) via partial liquid ventilation; the specific chemical is not specified so it is unclear whether it is PFOA/PFOS or a listed analogue but it could be relevant.
59,"NO — This article describes development of perfluorocarbon tracer sampling/analysis for leak detection (environmental tracer technology), not research on PFOA/PFOS or their analogues nor on immunotoxicity or health effects."
60,"YES — Review explicitly addresses toxicokinetics/toxicity of perfluorocarboxylates including perfluorooctanoate (PFOA), discussing renal elimination, transport mechanisms, and PBPK modeling relevant to PFOA toxicology."
61,"NO — The record refers to perfluorocarbon liquids for organ perfusion (oxygen carriers), not PFOA/PFOS or the listed perfluoroalkyl acid analogues, nor does it indicate immune/neurotoxicity outcomes."
62,"YES — The study uses a ""perfluorochemical (PFC)"" in a two-layer preservation method for canine pancreas, which may be a perfluorinated compound related to PFOA/PFOS but the specific identity is not specified, so relevance is unclear."
63,YES — The study uses a perfluorochemical (PFC) in the two-layer EC/PFC pancreas preservation method (a perfluorinated compound exposure) and assesses graft toxicity/viability in a canine model.
64,NO — This study used perfluorotributylamine as an oxygen-carrying perfluorocarbon to perfuse rat spinal cord (not PFOA/PFOS or listed C8 analogues) and reports a perfusion/electrophysiology method rather than immunotoxicity or immune-related outcomes.
65,"YES — The study exposes rats to C8F18 (a C8 perfluorocarbon/ perfluorinated analogue) and assesses immune-related toxicity outcomes (acute lung injury, PaO2, and TNF-α in serum and BALF), matching the inclusion criteria."
66,"NO — the study tests perflubron (perfluorooctyl bromide, PFOB), a perfluorocarbon emulsion, not PFOA, PFOS, or any of the listed C8 analogues, so it does not meet the exposure inclusion criteria."
67,NO — This study uses perfluorocarbon nanoparticles as imaging contrast agents and does not involve exposure to PFOA/PFOS (C8) or specified analogues nor does it investigate immunotoxicity or immune-related health effects.
68,"NO — This is a synthetic organic chemistry paper describing methods to prepare and characterize perfluoroalkylated ethenes, not a human/animal/in vitro study of PFOA/PFOS (or analogues) examining toxicity or immune-related effects."
69,NO — This is a study of perfluorocarbon (Rimar 101) total liquid ventilation in piglets and does not involve PFOA/PFOS (or listed C8 analogues) exposures nor assess immunotoxicity or immune-related health effects.
70,"NO — This is a review on contrast echocardiography using perfluorocarbon-filled microbubble agents and imaging methods, not a study of PFOA/PFOS (or listed analogues) exposure nor of immunotoxicity or immune-related health effects."
71,NO — This study describes a PARACEST perfluorocarbon nanoparticle imaging agent for fibrin detection and does not investigate PFOA/PFOS (or listed analogues) exposures or immune-related/toxicity outcomes.
72,"NO — This is a methodological review on isomer profiling and source-tracking of perfluorinated substances, not a human/animal/in vitro study reporting toxicity, immunotoxicity, or immune-related health effects of PFOA/PFOS."
73,"NO — The study concerns use of a perfluorochemical to deliver CO2 and enhance plant shoot growth in vitro, not research on PFOA/PFOS (or listed analogues) nor on immunotoxicity or immune-related health effects."
74,"YES — The study investigates Fluosol, a perfluorochemical emulsion (a perfluorinated compound) administered to humans and reports adverse effects including allergic reactions and hematology/chemistry changes, so it is relevant/unclear with respect to inclusion of PFOA/PFOS analogues."
75,"YES — The paper concerns fluorotelomer firefighting foams (PFAS precursors/analogues that can produce PFOA/PFOS), so it is potentially relevant though the title doesn’t specify whether toxicity or immune effects were studied."
76,"NO — This is a clinical study of transcatheter closure of a patent foramen ovale (cardiac defect), not research on exposure to PFOA/PFOS or related perfluorinated compounds or their immunotoxic/immune-related effects."
77,NO — This paper studies AQP1-mediated water permeability in mouse gallbladder and does not involve PFOA/PFOS (or listed analogues) exposure or immune/immunotoxicity outcomes.
78,NO — The record discusses heavy silicone oils and use of liquid perfluorocarbons in eye surgery but does not mention PFOA/PFOS (or listed analogues) nor report immunotoxicity or immune-related effects.
79,"NO — This is a mass-spectrometry methods paper showing PFOS as a surfactant to enhance DIOS-MS signal, not a study of exposure, toxicity, immunotoxicity, or immune-related health effects."
80,"YES — In vitro study exposing European eel peripheral blood mononuclear cells to PFOS and assessing proteomic changes in immune cells, meeting the exposure and immunotoxicity/toxicity criteria."
81,NO — Materials-science study of fluorinated amphiphilic coatings on polypropylene for antifouling; it does not investigate PFOA/PFOS (or specified analogues) exposures nor immunotoxicity or immune-related health effects.
82,"NO — The study concerns perfluorocarbon blood substitutes (PFCs) and ultrastructural uptake by rat cells but does not mention PFOA, PFOS, or any of the listed C8/perfluorooctane/perfluorooctanoate analogues."
83,NO — This is a synthetic organic chemistry paper on nickel-catalyzed cyclotrimerization of 1-perfluoroalkylenynes and does not study PFOA/PFOS (or specified analogues) exposures or any immunotoxicity/toxicity/immune-related health effects.
84,YES — In vitro study on primary rat testicular cells exposed to PFOA (and other PFCs) assessing toxicity endpoints (DNA damage and transporter expression).
85,"YES — In vitro rat hepatocyte study of fluorotelomer alcohol metabolism that confirmed formation of perfluorooctanoate (PFOA), making it relevant to PFOA exposure/toxicological research."
86,"YES — in vitro study exposing chicken embryo hepatocytes to PFOS (L-PFOS and T-PFOS) and other perfluoroalkyl compounds, assessing mRNA changes indicative of PFC toxicity."
87,"NO — The study investigates a perfluorocarbon (PFC) emulsion as an oxygen carrier in acute CO poisoning in rats and does not mention exposure to PFOA, PFOS, or any of the listed analogues."
88,"YES — Human cross-sectional study examining serum PFOA concentrations and associated toxic health effects (elevated homocysteine and hypertension), so it meets the exposure and toxicity criteria."
89,"NO — The study administers Fluosol DA (a perfluorocarbon blood substitute) to evaluate echogenicity of infarcted myocardium in dogs and does not involve PFOA, PFOS, the listed C8 analogues, or immune/immunotoxicity outcomes."
90,"YES — This is a 2-year rat study of ammonium perfluorooctanoate (C8, a PFOA analogue) reporting tumorigenicity and endocrine/toxic effects, so it meets the exposure and toxicity inclusion criteria."
91,"YES — The study uses a perfluorochemical (PFC) lavage in a rat ischemia-reperfusion model (animal study) and reports effects on mucosal barrier, bacterial translocation, endotoxemia, and pulmonary inflammation; it is unclear from the record whether the PFC is PFOA/PFOS or a listed analogue, so inclusion is warranted."
92,"NO — This is a biomonitoring study reporting PFOS/PFOA concentrations in Inuit children but does not assess immunotoxicity, toxicity outcomes, or immune-related health effects."
93,"YES — Title refers to PFOS (a target chemical) and possibly reports on exposure/toxicity outcomes; it’s unclear from the title alone whether it describes primary human/animal/in vitro research on immune-related or toxic effects, so include for screening."
94,"NO — The record describes perfluorochemical/perfluorocarbon emulsions as oxygen carriers to enhance chemotherapy, not exposure to PFOA/PFOS or any listed C8 analogues, nor does it report immunotoxicity or immune-related health effects."
95,NO — this study examines effects of a perfluorocarbon emulsion (perflubron/Oxygent) on lignocaine brain pharmacokinetics in sheep and does not involve PFOA/PFOS (or specified analogues) nor assess immunotoxicity or immune-related health effects.
96,"NO — This lamb study evaluates partial liquid ventilation with a perfluorocarbon to improve gas exchange and nitric-oxide delivery in congenital diaphragmatic hernia, not exposure to PFOA/PFOS (or specified analogues) nor immunotoxicity/immune-related health effects."
97,"NO — This study measures temporal concentrations of PFAS (including PFOS and long-chain PFCAs) in seabird livers but does not evaluate immunotoxicity, toxicity, or immune-related health outcomes."
98,NO — This is a methods paper describing an imaging technique using amorphous fluoropolymer granules for microbial biofilms and does not study PFOA/PFOS (or listed analogues) or any immunotoxicity/immune-related health effects.
99,"YES — Animal experimental study of perfluorocarbon liquid (PCL) perfusion in rabbit and pig eyes assessing toxicity/safety (ophthalmic exam, endothelial counts, ERG, histopathology), which may involve perfluorinated compounds such as perfluoro‑n‑octane (PFO) though the specific PFAS analogue is not explicitly named."
100,"NO — the paper uses a perfluorocarbon tracer gas to measure classroom ventilation and addresses indoor air/ventilation issues, not exposure to PFOA/PFOS (or their analogues) nor immunotoxicity or immune-related health effects."
101,"NO — This porcine study evaluates radiofrequency thermal closure of patent foramen ovale and healing histopathology, and does not involve PFOA/PFOS (or analogues) exposure or immune/toxicity outcomes."
102,NO — This study evaluates perfluorocarbon emulsions as oxygen-carrying blood substitutes (Neo-PFC/Fluosol-DA) and does not involve PFOA/PFOS/C8 exposures nor assess immunotoxicity or immune-related health effects.
103,"NO — This is an ophthalmic surgical case series about pneumatic retinopexy mentioning perfluorocarbon liquids, but it does not study exposures to PFOA/PFOS (C8) or related chemicals nor report immunotoxicity/toxicity outcomes."
104,"NO — This is a chemical/engineering study on photocatalytic decomposition of PFCAs (including PFOA) in water, not a human, animal, or in vitro study of toxicity, immunotoxicity, or immune-related health effects."
105,"NO — This is a review of perfluorocarbon emulsions and hemoglobin blood substitutes and does not mention PFOA, PFOS, or any of the specified analogues nor report immune/toxicity outcomes for those substances."
106,"NO — This study examines SO2, particulate sulfur, light scattering, and a perfluorocarbon tracer from a coal plant (haze/air pollution), not exposures to PFOA/PFOS (or listed C8 analogues) nor any immunotoxicity or immune-related outcomes."
107,NO — This is a materials chemistry study of trifluoromethylated fullerenes (Sc3N@C80(CF3)n) and does not investigate PFOA/PFOS (C8) exposures or any human/animal/in vitro immunotoxicity or health effects.
108,"NO — This is a materials-chemistry paper on perfluoroalkylated perylene bisimides and their semiconductor/OFET properties, not a human/animal/in vitro study of PFOA, PFOS (or related perfluoroalkyl contaminants) or their immunotoxicity/toxicity."
109,"NO — This study concerns photocatalytic decomposition of trifluoroacetic acid (TFA), not PFOA/PFOS (or listed C8 analogues) and does not address immunotoxicity or immune-related health effects."
110,"NO — Materials/coatings study using perfluoropolyether and perfluoroalkylphosphonic acid, not about PFOA/PFOS (or listed analogues) exposures or any immunotoxicity/toxicity research."
111,YES — Animal study of the perfluorinated insecticide sulfluramid (a PFOS/PFOA-related perfluorinated compound) showing dose-responsive suppression of humoral immunity (reduced IgM PFC responses) in mice.
112,"NO — This study examines perflubron (a perfluorocarbon used for liquid ventilation) in rabbits and does not involve PFOA, PFOS, or the listed analogues nor immune/immunotoxicity outcomes."
113,"NO — The article describes fluoropolymer synthesis in supercritical CO2 and polymerization chemistry, with no mention of PFOA/PFOS (or listed analogues) or any immunotoxicity/toxicity or immune-related health effects."
114,"YES — Animal toxicology/toxicokinetic study of 8:2 FTOH (a PFAS analogue/precursor) in rats that quantifies PFOA as a metabolite and reports toxicity endpoints (hepatic necrosis), so it meets the exposure and toxicity inclusion criteria."
115,"YES — Animal study of PFOA exposure (rat pharmacokinetics/toxicokinetics), which is directly relevant to toxicity assessments of PFOA."
116,"YES — In vitro study testing perfluorooctane sulfonate (PFOS) and ammonium perfluorooctanoate (C8/PFOA analogue) on human glioblastoma cell lines, reporting cytotoxic and proliferative effects (toxicity)."
117,"NO — this is a materials-science study of ice adhesion on coatings (including fluorodecyl POSS), not research on PFOA/PFOS (or listed C8 analogues) nor on immunotoxicity or immune-related health effects."
118,"YES — Animal study of prenatal PFOA exposure (3 mg/kg) in wild-type, Pparα-null, and PPARα-humanized mice assessing developmental/postnatal toxic outcomes (survival, liver weight, Acox1/Cyp4a10 expression), demonstrating PPARα-dependent species differences."
119,"NO — This study investigates intestinal absorption of the flavonoid rutin in rat intestine and only mentions a generic perfluorocarbon oxygen carrier (not PFOA, PFOS, or specified analogues) and does not assess immunotoxicity or immune-related effects."
120,"NO — This materials-science study concerns inorganic PF6(-) anions in a Cu(II) coordination polymer for CO2 adsorption, not PFOA/PFOS (or listed C8 analogues) and does not address immunotoxicity or immune-related effects."
121,"NO — This article concerns perfluorocarbon-based oxygen carriers (F‑octyl bromide / F‑decyl bromide) and not PFOA, PFOS, or the specified C8 perfluoroalkyl acids/analogues listed in the inclusion criteria."
122,"NO — This study discusses perfluorocarbon gas-filled microbubble contrast agents for myocardial echocardiography and does not involve exposure to PFOA, PFOS (or listed analogues) nor address immunotoxicity or immune-related health effects."
123,"YES — Rat study of perfluorochemical emulsions (Fluosol‑DA, Oxypherol‑ET) showing depressed Kupffer cell phagocytosis (an immune-related toxicity); exposure is to perfluorochemicals though the record does not specify exact PFOA/PFOS analog names."
124,"NO — the paper studies perfluorocarbon (Fluosol) oxygen-carrier reperfusion in neonatal pig hearts and does not involve exposure to PFOA, PFOS (or the listed analogues) nor assess immunotoxicity or immune-related outcomes."
125,"YES — Animal study of perfluorooctanoic acid (PFOA) exposure in mice documenting toxic effects (adipose tissue atrophy, altered lipase activities, hepatic peroxisome proliferation and serum cholesterol changes), meeting the exposure and toxicity criteria."
126,NO — This is a materials/drug-delivery study of perfluoroalkyl-modified cyclodextrin nanoparticles encapsulating acyclovir and does not involve PFOA/PFOS (or the listed analogues) exposures nor any immunotoxicity/toxicity or immune-related health outcomes.
127,"YES — The study exposes rats to perflubron (perfluorooctyl bromide, a C8 perfluorinated compound) and reports immune-related outcomes (febrile response and macrophage activity) after intravenous administration."
128,NO — This study focuses on plasma-modified fluorinated polymer membranes for fuel-cell applications and does not involve exposure to PFOA/PFOS (or listed analogues) nor investigate immunotoxicity or immune-related health effects.
129,"NO — This record discusses perfluorocarbons as intravenous oxygen carriers, not exposure to PFOA, PFOS, or the specified analogues and does not report immune-related toxicity data."
130,"NO — This methods/materials paper describes vapor-deposited fluoropolymer coatings for PDMS microfluidic devices and does not involve PFOA/PFOS (or listed analogues) exposures nor report immunotoxicity, toxicity, or immune-related health effects."
131,"YES — Animal study using PFOA and PFOS (via PBPK modeling) to evaluate placental and lactational pharmacokinetics and implications for developmental toxicity in pregnant, fetal, neonatal, and lactating rats."
132,"YES — Animal study reporting effects of perfluorooctanoic acid (PFOA) exposure on apolipoprotein and regulatory gene expression in rare minnow, indicating toxic effects on lipid metabolism."
133,"NO — This is an organic synthesis paper using perfluorooctanoyl chloride as a reagent to make fluorinated nucleoside analogues, not a human/animal/in vitro study of PFOA/PFOS (or analog) exposure or any immunotoxicity/toxicity outcome."
134,"NO — Reports PFOS and other PFC concentrations, tissue distribution, and temporal trends in Baikal seals but does not present immunotoxicity, toxicity, or immune-related health effect outcomes."
135,"YES — Acute in vivo rat study exposing animals to PFOA and PFOS and assessing hepatic toxicity endpoints (peroxisome proliferation and mitochondrial biogenesis), directly relevant to PFOA/PFOS toxicity."
136,"NO — This computational study characterizes perfluorooctylbromide (PFOB)-based nanoemulsion particles (not PFOA/PFOS or listed C8 analogues) and focuses on atomistic MD structural properties of a delivery system rather than immunotoxicity, toxicity, or immune-related health effects."
137,NO — This is an optics/materials engineering study of Nd-doped polymer waveguide amplifiers and does not involve PFOA/PFOS or related perfluorinated compounds nor any immunotoxicity or immune-related health outcomes.
138,"NO — This is a photochemistry/materials study of fluorinated polymers (e.g., perfluorobutylethyl ether), not research on PFOA/PFOS (or listed analogues) nor on immunotoxicity or health effects."
139,"NO — This is an environmental occurrence/monitoring study quantifying PFOA/PFOS and related PFCs in water supplies, not an investigation of immunotoxicity, toxicity, or immune-related health effects."
140,"NO — This is a computational NMR/structural study of perfluorinated carboxylic acid isomers (including C8), not a human/animal/in vitro study of toxicity, immunotoxicity, or immune-related health effects."
141,"NO — This is a synthetic organic chemistry paper on making tetrafluorinated sugars and does not report research on PFOA/PFOS (C8) exposures, their analogues, or immunotoxicity/immune-related health effects."
142,"NO — the paper reports synthesis/evaluation of PBN derivatives containing generic perfluorocarbon chains but does not study PFOA, PFOS, or any of the listed analogues nor immune-related/toxicity effects from those compounds."
143,"YES — Animal study of perfluorooctanoic acid (PFOA) exposure in rats examining urinary excretion and serum concentrations influenced by castration/oestradiol, relevant to PFOA toxicokinetics and toxicity."
144,NO — The paper discusses membrane mechanics and general anesthesia (mentioning generic perfluorocarbons) but does not study PFOA/PFOS (or listed analogues) nor address immunotoxicity or immune-related health effects.
145,"YES — Animal study of developmental exposure to PFOA reporting toxic outcomes (altered body weight, leptin/insulin) and organ effects including decreased spleen weight, meeting the exposure and toxicity/immune-related criteria."
146,"NO — This is a materials/engineering study on fluorocarbon polymer coatings for hollow glass waveguides and does not investigate PFOA/PFOS (C8) exposures, immunotoxicity, or immune-related health effects."
147,"NO — This is an in vitro biophysical study of perfluoroalkyl alkanes (FmHn) affecting PLA2 activity in liposomes and does not examine PFOA, PFOS, or the listed C8/acid/sulfonate analogues nor immune/toxic outcomes."
148,"NO — the study investigates perfluorocarbon liquids (perfluoroctane and perfluoropolyether) used intraocularly, not PFOA, PFOS, or the specified perfluoroalkyl acid/sulfonate analogues."
149,"NO — This study develops pharmacodynamic biomarkers for the cyclin-dependent kinase inhibitor R547 in preclinical and phase I patients and does not investigate PFOA, PFOS, their analogues, or related immunotoxicity."
150,"NO — This is a synthetic organic chemistry paper describing radical cyclizations using perfluoroalkyl radicals, not a study of PFOA/PFOS (or listed C8 analogues) exposure or any immunotoxicity/toxicity outcomes in humans, animals, or in vitro systems."
151,"NO — The study evaluates myocardial perfusion using perfluorocarbon-containing ultrasound contrast (Optison/perflutren microbubbles), not exposures to PFOA, PFOS, or the listed C8/perfluorooctanoate/perfluorooctanesulfonate analogues, and it focuses on imaging technique rather than immunotoxicity or related health effects."
152,"YES — Review concerns perfluorochemical (perfluorinated) liquids used for liquid ventilation and discusses intrapulmonary exposures and cytoprotective/toxicological attributes, so it may include or be relevant to PFOA/PFOS analogues (unclear from title)."
153,"NO — This is an analytical method development/validation for detecting perfluorooctanoate on surfaces and does not report any toxicity, immunotoxicity, or immune-related health effects."
154,NO — This surgical ophthalmology study concerns vitrectomy for lens dislocation and does not involve exposure to PFOA/PFOS (or listed analogues) nor reports immunotoxicity or immune-related health effects.
155,"YES — The study reports exposure to a ""perfluorochemical"" (PFC) in isolated canine hearts but does not specify whether this is PFOA/PFOS or a listed analogue, so its relevance to the PFOA/PFOS-focused review is unclear (and it addresses cardiac preservation rather than immune outcomes)."
