index,raw_response
53,NO — the study examines bisphenol A's effect on ecdysone receptor expression in a copepod (developmental/stress endpoints) and does not report any obesity-related outcomes.
54,"NO — This is a dental bond-strength study on desensitizers (UltraEZ, MI Paste) using human teeth and reports bonding/SEM outcomes, with no mention of bisphenol A or its analogues and no obesity-related outcomes."
55,NO — The title refers to dimethacrylate monomers (not BPA or listed bisphenol analogues) and does not mention obesity-related outcomes.
56,"NO — Human cohort measuring urinary BPA and semen quality (reproductive outcomes), not any outcome related to obesity."
57,NO — this is a materials study of in vivo wear of dental composite resins (including Bis-GMA-based monomers) and does not investigate exposure to BPA/analogs in the context of obesity or report any obesity-related outcomes.
58,NO — This study investigates pulpal reactions to resin cement curing methods in monkeys and does not mention exposure to BPA or its listed analogues nor report any obesity-related outcomes.
59,NO — This is an in vitro dental materials study about polymerization and hygroscopic expansion (resin composites like Bis-GMA/TEGDMA) and does not report exposure to BPA (or the listed BPA synonyms/analogues) nor any obesity-related outcomes.
60,NO — This is an analytical methods study detecting bisphenol derivatives in foods and does not report any obesity-related outcomes or human/animal/in vitro exposure effects.
61,NO — This is an in vitro study of BPA (and NP) measuring estrogenic reporter-gene activity in MCF7 cells and does not report any outcome measures related to obesity.
62,"NO — The article discusses BPA presence and regulatory risk assessment from packaging migration but does not report any human, animal, or in vitro research outcomes related to obesity."
63,"NO — This is a materials-chemistry review on silica-supported organic functional groups and heterogeneous catalysis, with no mention of bisphenol A (or listed analogues), obesity outcomes, or human/animal/in vitro biological studies."
64,"NO — Study examines BPA effects on soybean root growth and nitrogen nutrition (a plant/ecotoxicology outcome), not obesity-related outcomes, and is not a human/animal/in vitro obesity model."
65,"NO — Although the study measures urinary BPA in pregnant women, it reports only exposure levels and predictors and does not include any obesity-related outcome measures."
66,"NO — The record ""Light cured composites."" does not mention bisphenol A or specified analogues nor any obesity-related outcome, and appears unrelated to the inclusion criteria."
67,NO — this is an in vitro dental materials study of composite-to-ceramic bond strength and does not involve bisphenol A (or listed analogues) nor report any obesity-related outcomes.
68,NO — the paper reports in vitro elution of bisphenol-A–glycidyl dimethacrylate from dental materials (a BPA-derived monomer) but is a chemical/biocompatibility study and does not report any obesity-related outcomes.
69,NO — This is an analytical methods paper developing/validating MIP-SPME fibers for BPA extraction from samples and does not report any biological exposure experiments or obesity-related outcomes.
70,NO — This is an in vitro dental microleakage study of restorative materials in extracted teeth and does not mention bisphenol A or its listed analogues nor report any obesity-related outcomes.
71,NO — in vitro study of fluoride release from dental materials after fluoride gel exposure that does not involve bisphenol A (or listed analogues) and reports no obesity-related outcomes.
72,"NO — This is a materials/polymerization study of BisGMA/TEGDMA dental resins (chemistry of curing) and does not report biological exposures to BPA/its specified analogues or any obesity-related outcomes in human, animal, or in vitro studies."
73,"NO — Methods paper developing an ELISA to detect BPA (using mice only to generate antibodies) that does not report any obesity-related outcomes in human, animal, or in vitro studies."
74,NO — the record studies enzymatic degradation and analytical characterization of bisphenol A (BPA) using laccase-modified nanoparticles and does not report any obesity-related outcomes or human/animal/in vitro adiposity endpoints.
75,NO — the paper only reports environmental measurements of bisphenol A in water and does not report any obesity-related outcomes or human/animal/in vitro exposure outcomes.
76,"NO — Although the study investigates exposure to bisphenol A (BPA) in rat hippocampal slices, its outcomes are neural spinogenesis/synaptic changes, not any obesity-related measure."
77,NO — This study investigates orthodontic bracket bond strengths in vivo and in vitro and does not involve bisphenol A (or specified analogues) exposure nor report any obesity-related outcomes.
78,"NO — This is an environmental/chemical study of BPA degradation by ozonation in water and does not report any human, animal, or in vitro outcomes related to obesity."
79,"NO — This is a materials-chemistry paper describing the synthesis and characterization of polycarbonates from bisphenol A diacetates and reports no human, animal, or in vitro biological outcomes related to obesity."
80,NO — This is a dental materials study of resin-dentin bond strengths over water storage and does not mention exposure to bisphenol A or its analogues nor report any obesity-related outcomes.
81,NO — Methods paper developing HPLC extraction/detection for BPA in edible oils; it reports analytical chemistry results only and includes no human/animal/in vitro exposure or any obesity-related outcome.
82,"NO — although this is an animal study of prenatal BPA exposure, it reports mammary carcinogenesis and related molecular outcomes, not any obesity-related measures."
83,"NO — This is a materials/chemistry study of Bis-GMA-based dental resins reporting polymerization and mechanical properties, not an exposure study of BPA/its listed analogues with any obesity-related outcome."
84,"NO — Although the record reports elution of 4,4'-isopropylidenediphenol (a BPA synonym) from a dental composite (an in vitro/materials study), it does not report any outcomes related to obesity."
85,NO — The article concerns dental bonding techniques for fractured anterior teeth and does not mention exposure to bisphenol A (or its analogues) nor report any obesity-related outcomes.
86,"NO — Although the study includes bisphenol A exposure in OK cell cultures, its outcomes focus on renal organic cation transport (TEA uptake and OCT1 expression), not any obesity-related measures."
87,"NO — The study examines bisphenol A effects on neonatal rat gonocyte proliferation in vitro with no outcomes related to obesity, so it does not meet the obesity-related outcome inclusion criterion."
88,NO — The record reports IgE-mediated occupational asthma from BADGE (a bisphenol A–derived epoxy resin) and does not report any outcomes related to obesity.
89,"NO — This environmental biodegradation study of BPA/BPF in plant rhizosphere/sediment (microbial isolation) does not report any obesity-related outcomes and is not a human, animal, or in vitro study relevant to obesity endpoints."
90,"NO — although the study involves bisphenol A exposure in rats, it examines neuroprotective effects (dopamine efflux and hydroxyl radical formation) and does not report any obesity-related outcomes."
91,"YES — The title explicitly addresses Bisphenol A and metabolic disorders, which likely includes obesity-related outcomes and thus meets the exposure and outcome criteria (study design not specified)."
92,NO — This is a dental materials wear study of restorative resins (denture teeth) with no mention of bisphenol A or its listed analogues and no obesity-related outcomes.
93,NO — This is an analytical chemistry methods paper developing an HPLC method to detect bisphenol A in water and does not report any obesity-related outcomes or biological effects.
94,"NO — Although the study includes bisphenol A exposure in vitro, it reports ER-related gene expression in Ishikawa cells and does not measure any obesity-related outcomes."
95,NO — This is a dental materials study on how latex glove contamination affects composite resin shear bond strength to bovine dentin and does not investigate bisphenol A (or its analogues) exposures or any obesity-related outcomes.
96,NO — an in vitro study engineering yeast to adsorb BPA that reports binding/sorption properties and kinetics but includes no obesity-related outcomes.
97,"NO — Although it is an animal study that measured bisphenol A in sediments, the paper reports endocrine/reproductive outcomes (intersex, vitellogenin, gene expression) and does not report any obesity-related outcome measures."
98,"NO — Materials/surface-chemistry study using a bisphenol-A–based epoxy as a substrate, with no BPA exposure assessment or any human/animal/in vitro biological outcomes related to obesity."
99,"NO — the study investigates BPA effects on breast cancer aggressiveness and patient recurrence outcomes but does not report any obesity-related measures, so it does not meet the inclusion criteria."
100,"NO — although the paper studies bisphenol AP (BPAP), it is an environmental/methods paper on adsorption and removal from wastewater and does not report any obesity-related outcomes or biological (human/animal/in vitro) exposure effects."
101,NO — This is an in vitro dental materials study of shear bond strength of dentin adhesives with no mention of bisphenol A (or listed analogues) and no obesity-related outcomes.
102,"NO — although the material contains bisphenol-A–derived Bis-GMA, the study reports bone-implant ultrastructure in rabbits and does not report any obesity-related outcomes."
103,NO — This is an analytical-methods paper developing MIP fibers for detecting BPA (and analogues) in environmental/urine samples and does not report any obesity-related outcomes or human/animal/in vitro exposure studies.
104,NO — This materials study evaluates polymerization/degree of cure of orthodontic adhesives and brackets and does not report exposure to bisphenol A or its listed analogues nor any obesity-related outcomes.
105,NO — The record concerns the effectiveness of dental fissure sealant resins and does not mention exposure to bisphenol A (or specified analogues) or any obesity-related outcomes.
106,"NO — the study involves neonatal bisphenol A exposure in rats but evaluates motor activity and gene-expression/neurobehavioral outcomes without reporting any body weight, adiposity, metabolic, or other obesity-related measures."
107,NO — This is an environmental analytical study measuring BPA concentrations in surface waters and does not report any obesity-related outcomes or human/animal/in vitro exposure effects.
108,NO — This is an analytical chemistry methods paper on extracting/detecting BPA in environmental water and does not report any obesity-related outcomes or human/animal/in vitro exposure effects.
109,"NO — This record describes bisphenol-A polycarbonate as an IOL material and reports ocular implant tolerance in rabbits, but does not examine BPA (or analogues) exposure effects on obesity or any obesity-related outcomes."
110,NO — This is an analytical chemistry methods paper developing/validating MECC-FASI for measuring bisphenol A/F in beverages and does not report any obesity-related outcomes or biological (human/animal/in vitro) effects.
111,"NO — This is a materials study of dental resin rheology using Bis‑GMA/TEGDMA and filler variations, with no BPA (as exposure) or analogue exposure assessment and no obesity-related outcomes reported."
112,NO — This in vitro dental materials study assesses shear bond strength of self-etching primers on bovine enamel and does not investigate exposure to bisphenol A or the specified analogues nor any obesity-related outcomes.
113,NO — The study evaluates dentin adhesive bond strength and does not mention exposure to bisphenol A (or listed analogues) nor report any obesity-related outcomes.
114,"NO — The paper describes material characterization of a BisGMA (BPA-derived) dental resin and its mechanical properties, with no exposure assessment or any obesity-related outcomes reported."
115,NO — This is a dental materials study on light-curing and Knoop hardness of resin cements/composite with no mention of bisphenol A (or the listed analogues) exposure and no obesity-related outcomes.
116,NO — This is an analytical/environmental monitoring study quantifying BPA and other EDCs in fruits/vegetables (and estimating intake) and does not report any obesity-related outcomes or involve human/animal/in vitro exposure-outcome research.
117,NO — This is a human biomonitoring study measuring BADGE and related BPA derivatives (with comparison to BPA) in urine but it does not report any obesity-related outcome measures.
118,"NO — The study examines polymerization kinetics of dental restorative materials and light-curing units, with no investigation of bisphenol A (or listed analogues) exposure or any obesity-related outcomes."
119,"NO — This clinical trial evaluates dental resin composite materials and placement techniques, and does not study bisphenol A (or specified analogues) exposure nor report any obesity-related outcomes."
120,NO — This study investigates fiber reinforcement and color stability of dental composite resins after aging and does not mention exposure to bisphenol A (or listed analogues) nor any obesity-related outcomes.
121,NO — This is an environmental analytical methods study detecting BPA in water samples and does not involve human/animal/in vitro exposure experiments nor report any obesity-related outcomes.
122,"NO — The record examines hypersensitivity/allergic reactions to epoxy resins and the role of bisphenol A, not any obesity-related outcomes."
123,NO — This is an in vitro study of dentin adhesive bond strength in primary teeth and does not mention exposure to BPA (or specified analogues) nor report any obesity-related outcomes.
124,NO — This is a dental materials study reporting polymer synthesis and mechanical properties (Bis-GMA/other methacrylates) with no exposure assessment of BPA or listed analogues in relation to any obesity outcome.
125,"NO — this is an environmental monitoring/analytical study measuring BPA in marine biota and does not report any obesity-related outcomes nor involve human, animal, or in vitro experimental designs."
126,NO — Tests bisphenol A in an in vitro fish liver assay measuring vitellogenin/estrogenic responses but does not report any obesity-related outcomes.
127,"NO — The paper describes an in vitro bacterial assay that detects bisphenol A (BPA) but does not report any outcomes related to obesity, so it does not meet the inclusion criteria."
128,NO — This is an analytical chemistry methods paper noting bisphenol A's reactivity during steroid derivatization for GC‑MS and does not report any obesity-related outcomes or relevant human/animal/in vitro exposure–effect data.
129,NO — This dental cost-effectiveness study examines glass ionomer vs resin sealant application time in children and does not assess bisphenol A (or listed analogues) exposure nor any obesity-related outcomes.
130,NO — This is an in vitro dental materials study of resin-to-metal bonding with adhesion promoters and does not investigate BPA or the listed analogues nor report any obesity-related outcomes.
131,"NO — Although it assesses human urinary BPA exposure, the study reports reproductive outcomes (oocyte yield, fertilization, embryo/blastocyst measures) and does not report any obesity-related outcomes."
132,"YES — the record examines maternal bisphenol A (BPA) exposure and developmental programming of offspring (including placental, zygotic/in vitro, and sexually dimorphic outcomes and DOHaD effects), but the abstract only explicitly mentions neurobehavioural outcomes and does not state whether obesity-related outcomes are reported, so relevance to obesity is unclear."
133,"NO — This ex vivo orthodontic bonding study does not involve bisphenol A or the specified analogues, reports no obesity-related outcomes, and thus does not meet the inclusion criteria."
134,"NO — This is an analytical methods paper validating an immunosensor for detecting bisphenol A in water and does not report any human, animal, or in vitro exposure study or any outcome measures related to obesity."
135,"NO — The paper tests styrene oligomers (various dimers/trimers) for estrogenic activity in MCF-7 cells, not exposure to BPA or the specified BPA analogues, and it does not report any obesity-related outcomes."
136,NO — This dental materials study examines polymerization rate effects on composite resin adaptation and mechanical properties and does not report exposure to bisphenol A (or its analogues) nor any obesity-related outcomes.
137,NO — This is an in vitro orthodontic bond-strength study of primers (Transbond MIP/XT) with no mention of bisphenol A or the specified analogues and no outcomes related to obesity.
138,NO — this is a dental materials study of enamel bond strength and fatigue with no mention of bisphenol A or its listed analogues and no obesity-related outcomes.
139,"NO — This is an occupational exposure standards document listing chemicals (including BPA) and does not report any human, animal, or in vitro research nor any obesity-related outcomes."
140,NO — The study examines bisphenol A binding/inhibition of mouse Nat2 in vitro and reports enzymatic/structural findings but does not report any obesity-related outcomes.
141,NO — This is a methods/analytical paper developing an ELISA to detect BPA and related bisphenols (with testing on spiked water and mouse serum) and does not report any obesity-related outcomes or relevant exposure–effect data.
142,NO — this is a dental materials study on KrF laser-treated dentin bond strength and does not involve exposure to BPA or its analogues nor report any obesity-related outcomes.
143,NO — This dental materials study investigates microleakage of porcelain veneer cements and does not involve exposure to bisphenol A or its analogues nor report any outcomes related to obesity.
144,NO — This dental materials study assesses composite polymerization and microleakage in extracted teeth and does not report exposure to bisphenol A (or the listed analogues) nor any obesity-related outcomes.
145,"NO — Although the study includes exposure to bisphenol A (BPA) in fish primary hepatocytes, it assesses vitellogenesis/reproductive endocrine effects, not any outcome measures related to obesity."
146,"NO — this is an in vitro chemical study of BPA leaching and oxidative decomposition and does not report any obesity-related outcomes in human, animal, or cell models."
147,"NO — This is an environmental biodegradation study of fungi removing BPA/NP from water and sediments and does not report any obesity-related outcomes in humans, animals, or in vitro models."
148,"NO — The record concerns atrazine (a herbicide), not bisphenol A or any of the listed bisphenol analogues, so it does not meet the exposure criterion."
149,"NO — This is a materials-chemistry study of urethane derivatives of Bis-GMA (a dental monomer), not an exposure study of BPA or the listed bisphenol analogues, and it reports only physicochemical and mechanical properties rather than any obesity-related outcomes."
150,NO — This record describes a dental bleaching/management technique for hypomineralized enamel and does not mention exposure to bisphenol A or its analogues nor any obesity-related outcomes.
151,"NO — Although bisphenol A is mentioned in the context of analytical recovery, this is a chromatography/methods paper with no human, animal, or in vitro study reporting any obesity-related outcomes."
152,"NO — Although bisphenol A was measured, this environmental monitoring study (including mussel bioaccumulation) does not report any obesity-related outcomes."
153,NO — Animal study of BPA exposure examining serum calcium and intestinal/kidney Ca‑metabolism endpoints with no measures or outcomes related to obesity.
154,NO — This in vitro dental materials study examines microleakage of composite restorations and adhesive systems and does not mention bisphenol A (or the listed analogues) or any obesity-related outcomes.
155,"NO — This methods study quantifies methacrylate monomer conversion (MMA, TEGDMA, EGDMA, HEMA) in dental resins using IR spectroscopy and does not mention BPA or the specified analogues nor any obesity-related outcomes."
156,NO — This in vitro study concerns depth of cure of dental resin composites and does not mention bisphenol A (or the listed analogues) nor report any obesity-related outcomes.
157,"NO — The study evaluates dental amalgam bonding agents in extracted teeth (shear bond strength, microleakage, confocal microscopy) and does not assess exposure to bisphenol A or its listed analogues nor report any obesity-related outcomes."
158,NO — This is a dental study on enamel etching and microleakage with no mention of bisphenol A (or listed analogues) or any obesity-related outcomes.
159,NO — The study evaluates clinical wear of dental composites (mentions bisGMA) and does not report exposure to BPA or the specified analogues nor any obesity-related outcomes.
160,NO — This clinical dental study investigates microleakage of bonding agents in restorations and does not assess exposure to bisphenol A (or listed analogues) nor report any obesity-related outcomes.
161,NO — This is a clinical dental materials trial comparing matrix/wedge systems for Class II composite restorations and does not mention exposure to bisphenol A or its specified analogues nor report any obesity-related outcomes.
162,NO — This in vitro dental materials study assesses resin cement bond strength to yttria-stabilized zirconia and does not involve bisphenol A or the specified analogues nor report any obesity-related outcomes.
163,"YES — Title alone provides insufficient information to determine whether the study involves bisphenol A (or specified analogues) or reports obesity-related outcomes, so relevance is unclear and requires full-text screening."
164,NO — This in vitro materials study only tests DNA-immobilized beads' binding of planar endocrine disruptors (noting BPA did not bind) and reports no obesity-related outcomes.
165,"NO — Although bisphenol A is mentioned, this is an environmental fate/modeling study of wastewater treatment plant removal and does not report any human, animal, or in vitro exposure outcomes related to obesity."
166,"NO — Although the paper studies BPA (2,2-bis-(4-hydroxyphenyl)propane) binding to protein disulfide isomerase in rat brain and recombinant protein (in vitro/animal), it reports molecular/biochemical effects only and contains no outcomes related to obesity."
167,NO — This is a materials/analytical study of DGEBA (bisphenol A–based) epoxies using ToF-SIMS and does not report any obesity-related outcomes or biological (human/animal/in vitro) effects.
168,NO — This is a dental materials study of short-term calcium hydroxide treatment on dentin bond strength in bovine teeth and does not involve bisphenol A (or listed analogues) nor report any obesity-related outcomes.
169,NO — This in vitro study examines fluoride release and dentin demineralization from restorative materials and does not mention exposure to bisphenol A or its analogues nor report any obesity-related outcomes.
170,"NO — The study measures prenatal bisphenol A exposure but reports birth outcomes (birth weight, length, gestational age) rather than any obesity-related outcomes."
171,"NO — This randomized vertebroplasty trial compares Cortoss and PMMA and reports pain and functional outcomes, with no exposure to bisphenol A or its analogues and no obesity-related outcomes."
172,"NO — The study examines bisphenol A dimethacrylate (Bis‑DMA), which is not BPA or one of the specified analogues, and reports reproductive toxicity (and decreased body weights) rather than obesity-related outcomes."
173,"NO — This is an environmental biodegradation study of BPA and related bisphenols (microbial aerobic/anaerobic tests) and does not report any obesity-related outcomes nor involve human, animal, or in vitro exposure experiments."
174,NO — This in vitro study examines bis-GMA analogues (dental resin monomers) interacting with liposomes and does not assess bisphenol A or the specified BPA analogues nor report any obesity-related outcomes.
175,NO — This is an in vitro materials study of water-aged dimethacrylate resin composites assessing mechanical properties and does not involve BPA or the listed bisphenol analogues nor report any obesity-related outcomes.
176,NO — This study investigates HEMA and a BISGMA-HEMA dental adhesive for dentin bonding (materials/strength testing) and does not examine BPA or the specified BPA analogues nor report any obesity-related outcomes.
177,"NO — Although the study uses BADGE (a BPA-derived compound) it investigates immune/EAE outcomes (Th1 responses, IFN-γ, demyelination) and does not report any obesity-related measures."
178,NO — this is a dental materials study of abrasive wear of composites (using Bis‑GMA/TEGDMA resin) and does not report exposure to BPA or the listed analogues in the context of any obesity-related outcome measure.
179,NO — This in vitro dental remineralization study does not mention bisphenol A or its analogues and does not report any obesity-related outcomes.
180,"NO — This clinical dental restorative study does not examine bisphenol A or its analogues nor report any obesity-related outcomes, so it does not meet the inclusion criteria."
181,"NO — Study examines BPA's inhibition of human UGT1A6 in vitro (enzyme activity/toxicity), but does not report any outcomes related to obesity."
182,NO — The study concerns dentists' identification accuracy of clear vs opaque fissure sealants and does not report exposure to bisphenol A (or listed analogues) nor any obesity-related outcomes.
183,"YES — Reviews developmental epigenetic effects of BPA (in animals/humans) but the abstract does not explicitly mention obesity outcomes, so relevance to obesity is unclear."
184,"NO — This amphibian study examines BPA-induced feminization, sex-ratio and estrogenic biomarkers in Xenopus laevis with no outcomes related to obesity reported."
185,"NO — The study uses BPA as an inducer in an in vitro yeast transcription-factor assay but reports lacZ expression and methods development, not any obesity-related outcomes."
186,NO — This in vitro dental study assesses effects of an 18% carbamide peroxide bleaching varnish on enamel microhardness and shear bond strength and does not involve bisphenol A (or listed analogues) nor report any obesity-related outcomes.
187,"NO — This is a materials/physical-chemistry study of dielectric properties of diglycidyl ether of bisphenol-A (a BPA-derived polymer) and molecular liquid dynamics, not research on BPA exposure in biological systems nor reporting any obesity-related outcomes in human, animal, or in vitro studies."
188,NO — This is an endodontic study on periapical healing after root-end sealing with dentine-bonded composite and does not mention exposure to bisphenol A or its analogues nor report any obesity-related outcomes.
189,NO — This is a dental materials study on the marginal integrity of composite resin inlays and does not report exposure to bisphenol A (or listed analogues) nor any obesity-related outcomes.
190,NO — This study measures BPA concentrations in paper products and estimates dermal exposure but does not report any obesity-related outcomes or measures.
191,"NO — This record is a risk-assessment paper establishing a tolerable daily intake for BPA and discusses reproductive and neurobehavioral endpoints and exposure estimates, but it does not report any obesity-related outcomes."
192,"NO — This is an exposure/biomonitoring review reporting measurements and recommendations (including BPA), but it does not report any obesity-related outcome measures."
193,NO — This in vitro dental materials study investigates polyacrylic acid pretreatment on resin–dentin bond strength and does not mention bisphenol A or its listed analogues nor report any obesity-related outcomes.
194,"NO — although it examines BPA exposure (in an animal Cd-toxicity model), the reported outcomes are hepatic metallothionein expression and liver damage (GPT/GOT), not any obesity-related measures."
195,"NO — Animal study of perinatal BPA effects on learning and affective behaviors (EPM, FST, MWM) with no measures or outcomes related to obesity."
196,"NO — Although the paper tests bisphenol A and analogues in in vitro biosensor assays, it reports thyroid‑binding activity only and contains no outcomes related to obesity."
197,"NO — This is an environmental monitoring/ecotoxicology study measuring BPA concentrations in water and fish and assessing estrogenic/ecotoxic effects, but it does not report any obesity-related outcomes in humans, animals, or in vitro."
