,Randomly selected Original Order ID,title,Media,Link,Min Page,Appearances,Queries,label_abs,Duplicate story?,abstract,tiabs
43,172,Study Supports HPV Self-Testing for Cervical Cancer Screening - HealthDay,HealthDay,https://www.healthday.com/health-news/cancer/study-supports-hpv-self-testing-for-cervical-cancer-screening,1,2,Cancer screening,1,Cervical cancer self sampling,"TUESDAY, Dec. 17, 2024 (HealthDay News) -- A self-administered test can help empower women in identifying risks for cervical cancer. A new study published Dec. 12 in the journal PLOS Medicine shows the self-test for human papillomavirus (HPV) infection accurately identified women who either had cervical cancer or precancerous cells in their cervix. ""About 40% of women in our high-risk group had been diagnosed with the severe cervical precancer or cancer that requires treatment,â€ said lead researcher Jiayao Lei, an assistant professor of medical epidemiology and biostatistics at the Karolinska Institute in Sweden. â€œTherefore, our recommendation for the future is that this group be referred directly for further investigation with colposcopy [a medical procedure typically performed following abnormal Pap smear results],"" Lei added in an institute news release. These results come roughly a week after a leading panel of preventive medicine experts decided to recommend that women 30 and older should have the option of collecting their own vaginal samples for testing, in lieu of a complete pelvic exam. â€œWomen who would be more comfortable collecting their HPV test sample themselves can now do so,â€ Dr. Esa Davis, a member of the U.S. Preventive Services Task Force (USPSTF), said in a release announcing the new guidance. â€œWe hope that this new, effective option helps even more women get screened regularly.â€ The USPSTF guidance follows the U.S. Food and Drug Administration's approval of a self-testing kit for cervical cancer last May. That test should be repeated every five years from age 30 until 65, when most women can stop screening, the task force said. For the new study, researchers analyzed data from 855 women with a positive HPV self-test. They then sorted the women into high-, medium- or low-risk groups based on the type of HPV they had and how much virus was present in their self-test. They found that a little more than 8% of these women had eithe","Study Supports HPV Self-Testing for Cervical Cancer Screening - HealthDay TUESDAY, Dec. 17, 2024 (HealthDay News) -- A self-administered test can help empower women in identifying risks for cervical cancer. A new study published Dec. 12 in the journal PLOS Medicine shows the self-test for human papillomavirus (HPV) infection accurately identified women who either had cervical cancer or precancerous cells in their cervix. ""About 40% of women in our high-risk group had been diagnosed with the severe cervical precancer or cancer that requires treatment,â€ said lead researcher Jiayao Lei, an assistant professor of medical epidemiology and biostatistics at the Karolinska Institute in Sweden. â€œTherefore, our recommendation for the future is that this group be referred directly for further investigation with colposcopy [a medical procedure typically performed following abnormal Pap smear results],"" Lei added in an institute news release. These results come roughly a week after a leading panel of preventive medicine experts decided to recommend that women 30 and older should have the option of collecting their own vaginal samples for testing, in lieu of a complete pelvic exam. â€œWomen who would be more comfortable collecting their HPV test sample themselves can now do so,â€ Dr. Esa Davis, a member of the U.S. Preventive Services Task Force (USPSTF), said in a release announcing the new guidance. â€œWe hope that this new, effective option helps even more women get screened regula"
44,173,Blood Test May Reduce Unnecessary Prostate Cancer Biopsies - Feinberg News Center,Feinberg News Center,https://news.feinberg.northwestern.edu/2024/12/16/blood-test-may-reduce-unnecessary-prostate-cancer-biopsies/,2,1,"Cancer screening,Early detection",1,,"Adam B. Murphy, MD, MBA, â€˜14 MS, â€˜10 GME, the Distinguished Professor of Health Equity Research in Urology, was a lead-author of the study published in the Journal of Clinical Oncology. A new blood test may help reduce unnecessary prostate biopsies and can detect prostate cancer with similar sensitivity to standard screening in patients across racial and ethnic groups, according to a recent multi-center trial published in the Journal of Clinical Oncology. Adam B. Murphy, MD, MBA, â€˜14 MSCI, â€˜10 GME, the Distinguished Professor of Health Equity Research in Urology, was a lead author of the study and the principal investigator of the U.S. clinical site. Prostate cancer is currently the second-leading cause of death in men in the U.S. and one in eight men will be diagnosed with prostate cancer during their lifetimes, according to the Centers for Disease Control and Prevention. Men who are older, who have a family history of prostate cancer and are African American also have an up to 70 percent higher risk of developing prostate cancer, according to the American Cancer Society. Prostate cancer risk is typically determined by a digital rectal exam and biomarker screening such as the prostate-specific antigen (PSA) test, which measures levels of the PSA protein in the patientâ€™s blood, followed by a prostate biopsy. In the current study, Murphy and colleagues aimed to determine if a new blood test that determines prostate cancer risk, the Stockholm3 test, could improve prostate cancer detection in patient from different racial and ethnic groups in the U.S. and also reduce unnecessary prostate biopsies in patients with benign or low-grade prostate cancer. More than 2,100 patients from 17 clinical sites across the U.S. who underwent prostate biopsies were enrolled. Of the participants, 16 percent were Asian, 24 percent were Black or African American, 14 percent were Hispanic white, and 46 percent were non-Hispanic white. â€œThe study recruited patients from 1","Blood Test May Reduce Unnecessary Prostate Cancer Biopsies - Feinberg News Center Adam B. Murphy, MD, MBA, â€˜14 MS, â€˜10 GME, the Distinguished Professor of Health Equity Research in Urology, was a lead-author of the study published in the Journal of Clinical Oncology. A new blood test may help reduce unnecessary prostate biopsies and can detect prostate cancer with similar sensitivity to standard screening in patients across racial and ethnic groups, according to a recent multi-center trial published in the Journal of Clinical Oncology. Adam B. Murphy, MD, MBA, â€˜14 MSCI, â€˜10 GME, the Distinguished Professor of Health Equity Research in Urology, was a lead author of the study and the principal investigator of the U.S. clinical site. Prostate cancer is currently the second-leading cause of death in men in the U.S. and one in eight men will be diagnosed with prostate cancer during their lifetimes, according to the Centers for Disease Control and Prevention. Men who are older, who have a family history of prostate cancer and are African American also have an up to 70 percent higher risk of developing prostate cancer, according to the American Cancer Society. Prostate cancer risk is typically determined by a digital rectal exam and biomarker screening such as the prostate-specific antigen (PSA) test, which measures levels of the PSA protein in the patientâ€™s blood, followed by a prostate biopsy. In the current study, Murphy and colleagues aimed to determine if a new blood "
45,175,Reducing Risk for Cervical Cancer - CDC,CDC,https://www.cdc.gov/cervical-cancer/prevention/index.html,2,2,Cancer screening,0,,"Steps you can take Human papillomavirus (HPV) vaccine The HPV vaccine protects against the types of HPV that most often cause cervical, vaginal, and vulvar cancers. HPV vaccination is recommended for preteens aged 11 to 12 years, but can be given starting at age 9. HPV vaccination also is recommended for everyone through age 26 years, if they are not vaccinated already. HPV vaccination is not recommended for everyone older than age 26 years. However, some adults age 27 through 45 years who are not already vaccinated may decide to get the HPV vaccine after speaking with their doctor about their risk for new HPV infections and the possible benefits of vaccination. HPV vaccination in this age range provides less benefit, as more people have already been exposed to HPV. If vaccination is started before age 15, a two-dose schedule is recommended, with the doses given 6 to 12 months apart. For people who start the series after their 15th birthday, the vaccine is given in a series of three shots. HPV vaccination prevents new HPV infections, but does not treat existing infections or diseases. This is why the HPV vaccine works best when given before any exposure to HPV. You should get screened for cervical cancer regularly, even if you received an HPV vaccine. Screening tests Two screening tests can help find changes that could become precancer or cervical cancer: The Pap test (or Pap smear) looks for precancers, cell changes on the cervix that might become cervical cancer if they are not treated appropriately. The HPV test looks for the virus (human papillomavirus) that can cause these cell changes. Are you worried about the cost?â€Žâ€Ž CDC offers free or low-cost cervical cancer screening tests through the National Breast and Cervical Cancer Early Detection Program. Find out if you qualify. More steps to help prevent cervical cancer These things may also help lower your risk for cervical cancer: Don't smoke. Use condoms during sex.* *HPV infection can occu","Reducing Risk for Cervical Cancer - CDC Steps you can take Human papillomavirus (HPV) vaccine The HPV vaccine protects against the types of HPV that most often cause cervical, vaginal, and vulvar cancers. HPV vaccination is recommended for preteens aged 11 to 12 years, but can be given starting at age 9. HPV vaccination also is recommended for everyone through age 26 years, if they are not vaccinated already. HPV vaccination is not recommended for everyone older than age 26 years. However, some adults age 27 through 45 years who are not already vaccinated may decide to get the HPV vaccine after speaking with their doctor about their risk for new HPV infections and the possible benefits of vaccination. HPV vaccination in this age range provides less benefit, as more people have already been exposed to HPV. If vaccination is started before age 15, a two-dose schedule is recommended, with the doses given 6 to 12 months apart. For people who start the series after their 15th birthday, the vaccine is given in a series of three shots. HPV vaccination prevents new HPV infections, but does not treat existing infections or diseases. This is why the HPV vaccine works best when given before any exposure to HPV. You should get screened for cervical cancer regularly, even if you received an HPV vaccine. Screening tests Two screening tests can help find changes that could become precancer or cervical cancer: The Pap test (or Pap smear) looks for precancers, cell changes on the cervix that "
46,179,Cervical Cancer: US Task Force Endorses New Option for Screening - Healthline,Healthline,https://www.healthline.com/health-news/cervical-cancer-screening-hpv-testing-us-task-force,3,1,Cancer screening,1,Cervical cancer self sampling,"Share on Pinterest New cervical cancer screening guidelines from the U.S. Preventive Services Task Force include self-collection of HPV samples for females starting at age 30. Anchiy/Getty Images The U.S. Preventive Services Task Force released new draft guidelines for cervical cancer screening, including recommendations for three screening methods. For the first time, the new recommendations also include self-collection for HPV samples, which the Task Force states could help reduce barriers to care and improve screening access. Cervical cancer death rates in the U.S. are declining due to regular screening, but Black and Hispanic women still face disproportionately high risks. Cervical cancer continues to be a leading cause of disease-related death globally . In the United States, where regular screening for cervical cancer is widely available, mortality rates have fallen by 70% since the 1950s. Vaccination against HPV for children and adults is also highly encouraged. Most cervical cancer cases are caused by human papillomavirus (HPV), a sexually transmitted infection (STI). Current guidelines for cervical cancer screening recommend HPV testing every 5 years for females ages 30 to 65. For younger females ages 21 to 29, a Pap test every three years continues to be the gold standard for cervical cancer screening. On December 10, however, the U.S. Preventive Services Task Force (UPSTF) released a new draft recommendation for cervical cancer screening that includes three screening methods â€” HPV tests, Pap tests (cytology), and co-testing (Pap and HPV) â€” to help detect early signs of the disease. For the first time, UPSTF has also included self-collected HPV tests in its cervical cancer screening guidelines starting at age 30. Females can now collect their own samples using a swab, which UPSTF states yields just as accurate results as when a sample is collected by a clinician. UPSTF anticipates self-collection will increase screening rates among those who","Cervical Cancer: US Task Force Endorses New Option for Screening - Healthline Share on Pinterest New cervical cancer screening guidelines from the U.S. Preventive Services Task Force include self-collection of HPV samples for females starting at age 30. Anchiy/Getty Images The U.S. Preventive Services Task Force released new draft guidelines for cervical cancer screening, including recommendations for three screening methods. For the first time, the new recommendations also include self-collection for HPV samples, which the Task Force states could help reduce barriers to care and improve screening access. Cervical cancer death rates in the U.S. are declining due to regular screening, but Black and Hispanic women still face disproportionately high risks. Cervical cancer continues to be a leading cause of disease-related death globally . In the United States, where regular screening for cervical cancer is widely available, mortality rates have fallen by 70% since the 1950s. Vaccination against HPV for children and adults is also highly encouraged. Most cervical cancer cases are caused by human papillomavirus (HPV), a sexually transmitted infection (STI). Current guidelines for cervical cancer screening recommend HPV testing every 5 years for females ages 30 to 65. For younger females ages 21 to 29, a Pap test every three years continues to be the gold standard for cervical cancer screening. On December 10, however, the U.S. Preventive Services Task Force (UPSTF) released a new "
47,183,Mobile mammography units are not cannibalizing facility-based breast cancer screening - Radiology Business,Radiology Business,https://radiologybusiness.com/topics/healthcare-management/medical-practice-management/mobile-mammography-units-are-not-cannibalizing-facility-based-breast-cancer-screening,3,1,Cancer screening,1,,"Mobile mammography units are not cannibalizing facility-based breast cancer screening, according to new research from the Neiman Health Policy Institute. Such roving imaging vans have been posed as a way to reach more women in rural and underserved communities. However, their deployment could raise concern for those investing in imaging centers with higher overhead costs and potentially stricter regulatory oversight. Experts with the American College of Radiology-affiliated research outfit sought to better understand mobile mammo use, sharing their findings in the journal Clinical Breast Cancer [1]. They emphasized that these units appear to be reaching new patients, rather than stealing them away from local hospitals and imaging centers. â€œOur results show that mobile mammography is not cannibalizing facility-based mammography,â€ Casey Pelzl, senior economic and health services analyst at the policy institute and lead researcher on the study, said in a statement shared Friday. â€œIt provides additive access to breast cancer screening. Whatâ€™s more, it reaches women who might not otherwise get screened, and thus presents a complementary approach to facility-based mammography that may reduce access disparities and increase early detection of breast cancer."" For the study, researchers analyzed a 5% representative sample of fee-for-service Medicare claims spanning 2004 to 2021, extrapolating to represent the entire population covered by the program. Among more than 2.63 million screening eligible women, about 1.3 million (or 49.5%) had a mammogram during the study period. Of those, fewer than 5,000 (or 0.4%) did so via a mobile imaging unit. When controlling for various factors, women in low-income communities were 41% more likely to use mobile mammography versus those living in above-average economic conditions. Those in rural geographies were 210% more likely compared to urban areas, and 453% more so when comparing American Indians/native Alaskans to white wo","Mobile mammography units are not cannibalizing facility-based breast cancer screening - Radiology Business Mobile mammography units are not cannibalizing facility-based breast cancer screening, according to new research from the Neiman Health Policy Institute. Such roving imaging vans have been posed as a way to reach more women in rural and underserved communities. However, their deployment could raise concern for those investing in imaging centers with higher overhead costs and potentially stricter regulatory oversight. Experts with the American College of Radiology-affiliated research outfit sought to better understand mobile mammo use, sharing their findings in the journal Clinical Breast Cancer [1]. They emphasized that these units appear to be reaching new patients, rather than stealing them away from local hospitals and imaging centers. â€œOur results show that mobile mammography is not cannibalizing facility-based mammography,â€ Casey Pelzl, senior economic and health services analyst at the policy institute and lead researcher on the study, said in a statement shared Friday. â€œIt provides additive access to breast cancer screening. Whatâ€™s more, it reaches women who might not otherwise get screened, and thus presents a complementary approach to facility-based mammography that may reduce access disparities and increase early detection of breast cancer."" For the study, researchers analyzed a 5% representative sample of fee-for-service Medicare claims spanning 2004 t"
48,191,New cervical cancer screening guidelines: What practitioners needs to know - Contemporary Obgyn,Contemporary Obgyn,https://www.contemporaryobgyn.net/view/new-cervical-cancer-screening-guidelines-what-practitioners-needs-to-know,4,1,"Cancer screening,High-risk screening",1,Cervical cancer self sampling,"In a recent interview with Contemporary OB/GYN, Jessica Shepherd, MD, discussed the new cervical cancer screening recommendations issued by the US Preventive Services Task Force (USPSTF), explaining their implications for improving patient outcomes and addressing health disparities. The USPSTF recommendations now provide age-specific guidelines for cervical cancer screening. Women aged 21 to 29 years are advised to undergo Pap tests every 3 years. For women aged 30 to 65 years, there are 3 screening options: co-testing with Pap and HPV testing every 5 years, Pap testing alone every 3 years, or HPV testing alone every 5 years. The flexibility of these options aims to enhance the effectiveness and accessibility of screening. According to Shepherd, combining Pap and HPV testing is highly effective at reducing cervical cancer rates and mortality, as cervical cancer is one of the most preventable cancers with regular screening. Shepherd highlighted the significant progress made in cervical cancer prevention because of these screening methods. Since the introduction of Pap tests, cervical cancer mortality rates have dropped by 70%. However, she underscored ongoing challenges, particularly in addressing racial and ethnic disparities. Black women are more than twice as likely to die from cervical cancer as White women, while Hispanic women are 40% more likely to die compared to their White counterparts. These disparities highlight the need for better education, community outreach, and tailored interventions to ensure equitable access to screening and care. Health care professionals play a crucial role in mitigating these disparities. Shepherd emphasized the importance of fostering strong patient-provider relationships and advocating for regular screening, particularly in vulnerable communities. Ob-gyns and other providers must actively educate patients on the benefits of co-testing and encourage adherence to screening schedules. Furthermore, health care systems need to","New cervical cancer screening guidelines: What practitioners needs to know - Contemporary Obgyn In a recent interview with Contemporary OB/GYN, Jessica Shepherd, MD, discussed the new cervical cancer screening recommendations issued by the US Preventive Services Task Force (USPSTF), explaining their implications for improving patient outcomes and addressing health disparities. The USPSTF recommendations now provide age-specific guidelines for cervical cancer screening. Women aged 21 to 29 years are advised to undergo Pap tests every 3 years. For women aged 30 to 65 years, there are 3 screening options: co-testing with Pap and HPV testing every 5 years, Pap testing alone every 3 years, or HPV testing alone every 5 years. The flexibility of these options aims to enhance the effectiveness and accessibility of screening. According to Shepherd, combining Pap and HPV testing is highly effective at reducing cervical cancer rates and mortality, as cervical cancer is one of the most preventable cancers with regular screening. Shepherd highlighted the significant progress made in cervical cancer prevention because of these screening methods. Since the introduction of Pap tests, cervical cancer mortality rates have dropped by 70%. However, she underscored ongoing challenges, particularly in addressing racial and ethnic disparities. Black women are more than twice as likely to die from cervical cancer as White women, while Hispanic women are 40% more likely to die compared to their White"
49,193,Negative Colonoscopy Screening Results and Risk for Colorectal Cancer and Mortality - The ASCO Post,The ASCO Post,https://ascopost.com/news/december-2024/negative-colonoscopy-screening-results-and-risk-for-colorectal-cancer-and-mortality/,3,2,Cancer screening,1,Blood test colon cancer,"In a study reported in JAMA Oncology, Knudsen et al found evidence supporting the consideration of extending the rescreening intervals after a negative colonoscopy screening result beyond the currently recommended 10 years, particularly among individuals with a low-risk profile. Study Details The U.S. cohort study involved data from three prospective U.S. populationâ€“based cohorts from the Nursesâ€™ Health Study, Nursesâ€™ Health Study II, and Health Professionals Follow-up Study, with follow-up from 1988 and 1991 to 2020. Data from the National Health and Nutrition Examination Survey (NHANES) from the January 1, 2017, to December 31, 2018, cycle were used to compare risk profile distribution with that of the general U.S. population. Study Details A total of 195,453 participants (median age = 44 years at baseline; 81% female) were followed for a median of 12 years (interquartile range = 6â€“20 years). Among 81,151 individuals with negative colonoscopy screening results, 394 developed colorectal cancer. and 167 died of it. Among 114,302 individuals without screening colonoscopy, 2,229 developed colorectal cancer, and 637 died of it. Negative colonoscopy screening results were consistently associated with a lower colorectal cancer incidence (hazard ratio [HR] = 0.51, 95% confidence interval [CI] = 0.44â€“0.58) and colorectal cancer mortality (HR = 0.56, 95% CI = 0.46â€“0.70) over 20 years of follow-up. Among individuals with negative colonoscopy screening results, the 10-year cumulative colorectal cancer incidence of 0.78% among individuals with high-risk scores was not reached until 16 years among those with intermediate-risk scores and 25 years among those with low-risk scores. The investigators concluded: â€œThese findings provide evidence for shared decision-making between patients and physicians to consider extending the rescreening intervals after a [negative colonoscopy screening] result beyond the currently recommended 10 years, particularly for indivi","Negative Colonoscopy Screening Results and Risk for Colorectal Cancer and Mortality - The ASCO Post In a study reported in JAMA Oncology, Knudsen et al found evidence supporting the consideration of extending the rescreening intervals after a negative colonoscopy screening result beyond the currently recommended 10 years, particularly among individuals with a low-risk profile. Study Details The U.S. cohort study involved data from three prospective U.S. populationâ€“based cohorts from the Nursesâ€™ Health Study, Nursesâ€™ Health Study II, and Health Professionals Follow-up Study, with follow-up from 1988 and 1991 to 2020. Data from the National Health and Nutrition Examination Survey (NHANES) from the January 1, 2017, to December 31, 2018, cycle were used to compare risk profile distribution with that of the general U.S. population. Study Details A total of 195,453 participants (median age = 44 years at baseline; 81% female) were followed for a median of 12 years (interquartile range = 6â€“20 years). Among 81,151 individuals with negative colonoscopy screening results, 394 developed colorectal cancer. and 167 died of it. Among 114,302 individuals without screening colonoscopy, 2,229 developed colorectal cancer, and 637 died of it. Negative colonoscopy screening results were consistently associated with a lower colorectal cancer incidence (hazard ratio [HR] = 0.51, 95% confidence interval [CI] = 0.44â€“0.58) and colorectal cancer mortality (HR = 0.56, 95% CI = 0.46â€“0.70) ove"
50,194,Blood test offers new option for colon cancer screening - WIBW,WIBW,https://www.wibw.com/video/2024/12/13/blood-test-offers-new-option-colon-cancer-screening/,5,1,Cancer screening,1,Blood test colon cancer,,Blood test offers new option for colon cancer screening - WIBW 
51,195,Study Supports HPV Self-Testing for Cervical Cancer Screening - Citizentribune,Citizentribune,https://www.citizentribune.com/lifestyles/health/study-supports-hpv-self-testing-for-cervical-cancer-screening/article_bd264b68-d998-5499-ad60-6667e50bc474.html,5,1,Cancer screening,0,,Not your computer? Use Guest mode to sign in privately. Learn more about using Guest mode,Study Supports HPV Self-Testing for Cervical Cancer Screening - Citizentribune Not your computer? Use Guest mode to sign in privately. Learn more about using Guest mode
52,203,Elacestrant Plus CDK4/6i May Optimize ESR1+ Breast Cancer Outcomes - Cancer Network,Cancer Network,https://www.cancernetwork.com/view/elacestrant-plus-cdk4-6i-may-optimize-esr1-breast-cancer-outcomes,5,1,Cancer screening,0,,"Although elacestrant (Orserdu) is approved for patients with ESR1â€“posiitve breast cancer, elacestrant may optimize outcomes when combined with CDK4/6 inhibition in patients with estrogen receptorâ€“positive/HER2-negative breast cancer resistant to chemotherapy, according to Hope S. Rugo, MD. CancerNetworkÂ® spoke with Rugo, professor and director of Breast Oncology and Clinical Trials Education at the Helen Diller Family Comprehensive Cancer Center at the University of California San Francisco, about whether treatment with elacestrant plus abemaciclib (Verzenio) was associated with any specific patient subgroup benefit following a poster she presented at the 2024 San Antonio Breast Cancer Symposium (SABCS). Rugo began by explaining that her team would have to wait to see if an indication for elacestrant emerged outside of its approval in the aforementioned population, given the necessity for the drug in that indication. She subsequently posed a question as to how to use the agent in a combination not approved by the FDA or outlined in treatment guidelines. She expressed that an indication may have emerged, given a need for patients who have resisted chemotherapy, have had long responses with prior CDK4/6 inhibition and endocrine therapy, and have relatively limited metastatic disease and no end organ failure. Rugo then expressed that she considers CDK inhibition for this patient population, adding that combining CDK4/6 inhibition with selective estrogen receptor degraders (SERD), such as elacestrant, in patients with ESR1 mutations may work in this patient population. Pooled results from the phase 3 EMERALD Trial (NCT03778931) and phase 1b ELEVATE trial (NCT05563220) reveal that in all efficacy-evaluable patients (n = 27), the median progression-free survival (PFS) was 8.7 months, including an 8.7-month PFS observed in patients with ESR1-positivity. Furthermore, at the recommended phase 2 dose level of 345 mg daily of elacestrant plus 150 mg of abemaciclib (Ve","Elacestrant Plus CDK4/6i May Optimize ESR1+ Breast Cancer Outcomes - Cancer Network Although elacestrant (Orserdu) is approved for patients with ESR1â€“posiitve breast cancer, elacestrant may optimize outcomes when combined with CDK4/6 inhibition in patients with estrogen receptorâ€“positive/HER2-negative breast cancer resistant to chemotherapy, according to Hope S. Rugo, MD. CancerNetworkÂ® spoke with Rugo, professor and director of Breast Oncology and Clinical Trials Education at the Helen Diller Family Comprehensive Cancer Center at the University of California San Francisco, about whether treatment with elacestrant plus abemaciclib (Verzenio) was associated with any specific patient subgroup benefit following a poster she presented at the 2024 San Antonio Breast Cancer Symposium (SABCS). Rugo began by explaining that her team would have to wait to see if an indication for elacestrant emerged outside of its approval in the aforementioned population, given the necessity for the drug in that indication. She subsequently posed a question as to how to use the agent in a combination not approved by the FDA or outlined in treatment guidelines. She expressed that an indication may have emerged, given a need for patients who have resisted chemotherapy, have had long responses with prior CDK4/6 inhibition and endocrine therapy, and have relatively limited metastatic disease and no end organ failure. Rugo then expressed that she considers CDK inhibition for this patient population, "
53,211,ctDNA at Baseline Linked With Larger Tumor Size and Residual Cancer Burden - Cancer Network,Cancer Network,https://www.cancernetwork.com/view/ctdna-at-baseline-linked-with-larger-tumor-size-and-residual-cancer-burden,6,1,"Cancer screening,High-risk screening",0,,"Ultra-sensitive ctDNA testing identified ctDNA at baseline in patients with HRâ€“positive breast cancer, results from the PELOPS trial showed. In a presentation at the 2024 San Antonio Breast Cancer Symposium (SABCS), data from the phase 2 PELOPS investigational trial (NCT02764541) was shared that showed, in patients with primary hormone receptor (HR)â€“positive early breast cancer, ultra-sensitive circulating tumor DNA (ctDNA) testing was able to locate ctDNA at baseline. The presence of ctDNA at baseline in the patient population was linked with a larger pathological tumor size and higher residual cancer burden (RCB) scores after neoadjuvant endocrine therapy. Persistent ctDNA after neoadjuvant endocrine therapy was associated with higher rates of recurrence, Albert Grinshpun, MD, MSc and colleagues noted in the poster presentation. â€œThis study is the first investigation into the dynamics of ctDNA during neoadjuvant endocrine therapy using the Guardant Infinity platform,â€ Albert Grinshpun and colleagues wrote in their poster. â€œOur findings suggest that ctDNA has the potential to provide valuable insights into tumor burden, sensitivity to endocrine therapy and the emergence of endocrine resistance mutations.â€ Grinshpun is the Goldfarb Advanced Breast Cancer fellow at the Breast Oncology Center at Dana-Farber Cancer Institute in Boston. PELOPS Trial Design and Baseline Patient Characteristics The phase 2 PELOPS trial included 49 patients with stages I-III HRâ€“positive, HER2â€“negative breast cancer and were randomized to receive either neoadjuvant endocrine therapy plus palbociclib (Ibrance) or neoadjuvant endocrine therapy alone. Of note, neoadjuvant endocrine therapy with or without palbociclib was administered for 6 months until surgery. Plasma samples were also collected at baseline and presurgery. A total of 98 plasma samples from 53 patients were analyzed with successful sequencing achieved in 94.9% (93 of 98 samples) of samples. At baseline and","ctDNA at Baseline Linked With Larger Tumor Size and Residual Cancer Burden - Cancer Network Ultra-sensitive ctDNA testing identified ctDNA at baseline in patients with HRâ€“positive breast cancer, results from the PELOPS trial showed. In a presentation at the 2024 San Antonio Breast Cancer Symposium (SABCS), data from the phase 2 PELOPS investigational trial (NCT02764541) was shared that showed, in patients with primary hormone receptor (HR)â€“positive early breast cancer, ultra-sensitive circulating tumor DNA (ctDNA) testing was able to locate ctDNA at baseline. The presence of ctDNA at baseline in the patient population was linked with a larger pathological tumor size and higher residual cancer burden (RCB) scores after neoadjuvant endocrine therapy. Persistent ctDNA after neoadjuvant endocrine therapy was associated with higher rates of recurrence, Albert Grinshpun, MD, MSc and colleagues noted in the poster presentation. â€œThis study is the first investigation into the dynamics of ctDNA during neoadjuvant endocrine therapy using the Guardant Infinity platform,â€ Albert Grinshpun and colleagues wrote in their poster. â€œOur findings suggest that ctDNA has the potential to provide valuable insights into tumor burden, sensitivity to endocrine therapy and the emergence of endocrine resistance mutations.â€ Grinshpun is the Goldfarb Advanced Breast Cancer fellow at the Breast Oncology Center at Dana-Farber Cancer Institute in Boston. PELOPS Trial Design and Baseline Patient "
54,215,Radiology Partners study unearths 3 common barriers to lung cancer screening - Radiology Business,Radiology Business,https://radiologybusiness.com/topics/healthcare-management/medical-practice-management/radiology-partners-study-unearths-3-common-barriers-lung-cancer-screening,3,2,Cancer screening,1,,"New research from Rad Partners practice affiliate Desert Radiology has unearthed three common barriers keeping patients from undergoing lung cancer screening. Numerous studies have charted poor adherence to low-dose CT, with uptake rates as low as 0.7% in some states. The Las Vegas-based practice and Mountain View Hospital aimed to better understand the reasons why. They administered a questionnaire to 300 high-risk patients in southern Nevada during their screening visits, sharing the results in Cancer Epidemiology [1]. Absence of symptoms (38%), not wishing to know that they have cancer (30%) and lack of awareness about their eligibility for imaging (24%) were the top 3 answers, RP experts noted. â€œThe challenge is for physicians from both radiology and nonradiology specialties to find solutions to resolve these barriers and establish screening low-dose chest CT as the cornerstone for early detection of lung cancer in high-risk populations,â€ lead author Sameer Rehman, MD, MBA, a cardiothoracic and interventional rad with Desert Radiology, and colleagues concluded. â€œParallels are drawn to the progress that other cancer screening programs have shown in the several decades with the increased rates of enrollment, yet the screening for lung cancerâ€”with its prevalence and even greater mortalityâ€”remains in its infancy and requires equal attention as such impact would be resounding.â€ RP researchers administered the study between August and February 2023, constructing the 12-item questionnaire based on previous literature related to LDCT barriers. The study population consisted of southern Nevadans between 50 to 77 who met screening criteria in Medicare Part B. Less common barriers included concerns relating to the test (17%), cost (17%) and fear of invasive procedures (11%). In the studyâ€™s discussion section, Rehman et al. emphasized that efforts should be focused on educating patients to clarify that the â€œtenet of screening begins with asymptomatic pa","Radiology Partners study unearths 3 common barriers to lung cancer screening - Radiology Business New research from Rad Partners practice affiliate Desert Radiology has unearthed three common barriers keeping patients from undergoing lung cancer screening. Numerous studies have charted poor adherence to low-dose CT, with uptake rates as low as 0.7% in some states. The Las Vegas-based practice and Mountain View Hospital aimed to better understand the reasons why. They administered a questionnaire to 300 high-risk patients in southern Nevada during their screening visits, sharing the results in Cancer Epidemiology [1]. Absence of symptoms (38%), not wishing to know that they have cancer (30%) and lack of awareness about their eligibility for imaging (24%) were the top 3 answers, RP experts noted. â€œThe challenge is for physicians from both radiology and nonradiology specialties to find solutions to resolve these barriers and establish screening low-dose chest CT as the cornerstone for early detection of lung cancer in high-risk populations,â€ lead author Sameer Rehman, MD, MBA, a cardiothoracic and interventional rad with Desert Radiology, and colleagues concluded. â€œParallels are drawn to the progress that other cancer screening programs have shown in the several decades with the increased rates of enrollment, yet the screening for lung cancerâ€”with its prevalence and even greater mortalityâ€”remains in its infancy and requires equal attention as such impact would be resou"
